year,top_score
2000,"[[263, 86, 'Hajime no Ippo: THE FIGHTING!'], [372, 80, 'Cardcaptor Sakura Movie: Fuinsareta Card'], [1382, 80, 'Yuusha-Ou GaoGaiGar FINAL'], [227, 78, 'FLCL'], [1363, 78, 'Meitantei Conan: Hitomi no Naka no Ansatsusha']]"
2001,"[[199, 86, 'Sen to Chihiro no Kamikakushi'], [5, 82, 'Cowboy Bebop: Tengoku no Tobira'], [1364, 78, 'Meitantei Conan: Tengoku e no Count Down'], [135, 78, 'Hikaru no Go'], [187, 78, 'Initial D THIRD STAGE']]"
2002,"[[467, 82, 'Koukaku Kidoutai: STAND ALONE COMPLEX'], [1033, 81, 'Sennen Joyuu'], [137, 81, 'HUNTERHUNTER OVA'], [721, 81, 'Princess Tutu'], [1365, 80, 'Meitantei Conan: Baker Street no Bourei']]"
2003,"[[486, 81, 'Kino no Tabi: the Beautiful World'], [759, 81, 'Tokyo Godfathers'], [265, 81, 'Hajime no Ippo: Mashiba vs Kimura - Shikei Shikkou'], [264, 80, 'Hajime no Ippo: Champion Road'], [329, 80, 'Planetes']]"
2004,"[[19, 88, 'MONSTER'], [431, 84, 'Howl no Ugoku Shiro'], [801, 84, 'Koukaku Kidoutai: Stand Alone Complex 2nd GIG'], [205, 84, 'Samurai Champloo'], [57, 80, 'BECK']]"
2005,"[[457, 85, 'Mushishi'], [558, 79, 'Major S2'], [77, 78, ""Mahou Shoujo Lyrical Nanoha A's""], [237, 77, 'Koukyoushihen Eureka Seven'], [658, 77, 'Touhai Densetsu Akagi: Yami ni Maiorita Tensai']]"
2006,"[[918, 85, 'Gintama'], [877, 85, 'NANA'], [1575, 84, 'Code Geass: Hangyaku no Lelouch'], [1535, 84, 'DEATH NOTE'], [1210, 81, 'NHK ni Youkoso!']]"
2007,"[[2001, 85, 'Tengen Toppa Gurren Lagann'], [3002, 82, 'Gyakkyou Burai Kaiji: Ultimate Survivor'], [2251, 81, 'Baccano!'], [2246, 81, 'Mononoke'], [1735, 81, 'NARUTO: Shippuuden']]"
2008,"[[4181, 87, 'CLANNAD: After Story'], [2904, 87, 'Code Geass: Hangyaku no Lelouch R2'], [3297, 86, 'ARIA The ORIGINATION'], [4282, 84, 'Kara no Kyoukai: Mujun Rasen'], [5040, 81, 'One Outs']]"
2009,"[[5114, 90, 'Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST'], [5258, 85, 'Hajime no Ippo: New Challenger'], [4565, 84, 'Tengen Toppa Gurren Lagann: Lagann-hen'], [5300, 83, 'Zoku Natsume Yuujinchou'], [5081, 82, 'Bakemonogatari']]"
2010,"[[7311, 86, 'Suzumiya Haruhi no Shoushitsu'], [7785, 85, 'Yojouhan Shinwa Taikei'], [7472, 83, 'Gintama: Shinyaku Benizakura-hen'], [7791, 82, 'K-ON!!'], [6594, 82, 'Katanagatari']]"
2011,"[[11061, 89, 'HUNTERHUNTER (2011)'], [9253, 89, 'Steins;Gate'], [9969, 89, ""Gintama'""], [10379, 84, 'Natsume Yuujinchou San'], [9617, 83, 'K-ON! Movie']]"
2012,"[[15417, 89, ""Gintama': Enchousen""], [11665, 85, 'Natsume Yuujinchou Shi'], [11741, 85, 'Fate/Zero 2nd Season'], [12365, 83, 'Bakuman. 3'], [12355, 83, 'Ookami Kodomo no Ame to Yuki']]"
2013,"[[17074, 88, 'Monogatari Series: Second Season'], [15335, 87, 'Gintama: Kanketsu-hen - Yorozuya yo Eien Nare'], [19647, 84, 'Hajime no Ippo: Rising'], [16498, 84, 'Shingeki no Kyojin'], [11981, 84, 'Mahou Shoujo MadokaMagica: Hangyaku no Monogatari']]"
2014,"[[24701, 86, 'Mushishi Zoku Shou 2'], [21939, 86, 'Mushishi Zoku Shou'], [22135, 85, 'Ping Pong THE ANIMATION'], [23273, 84, 'Shigatsu wa Kimi no Uso'], [20583, 83, 'Haikyuu!!']]"
2015,"[[28977, 91, 'Gintama'], [28891, 86, 'Haikyuu!! 2nd Season'], [31181, 84, 'Owarimonogatari'], [28957, 84, 'Mushishi Tokubetsu-hen: Suzu no Shizuku'], [30276, 83, 'One Punch Man']]"
2016,"[[28851, 88, 'Koe no Katachi'], [32935, 87, 'Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou'], [32281, 85, 'Kimi no Na wa.'], [31757, 85, 'Kizumonogatari II: Nekketsu-hen'], [31933, 84, 'JoJo no Kimyou na Bouken: Diamond wa Kudakenai']]"
2017,"[[35180, 89, '3-gatsu no Lion 2'], [35247, 89, 'Owarimonogatari (Ge)'], [34096, 88, 'Gintama.'], [31758, 87, 'Kizumonogatari III: Reiketsu-hen'], [33095, 86, 'Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen']]"
2018,"[[37491, 87, 'Gintama.: Shirogane no Tamashii-hen - Kouhan-sen'], [36838, 86, 'Gintama.: Shirogane no Tamashii-hen'], [35760, 85, 'Shingeki no Kyojin 3'], [33352, 85, 'Violet Evergarden'], [37991, 84, 'JoJo no Kimyou na Bouken: Ougon no Kaze']]"
2019,"[[38524, 89, 'Shingeki no Kyojin 3 Part 2'], [37510, 88, 'Mob Psycho 100 II'], [37521, 87, 'VINLAND SAGA'], [37379, 85, 'Chihayafuru 3'], [38329, 84, 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai']]"
2020,"[[37987, 87, 'Violet Evergarden Movie'], [40028, 86, 'Shingeki no Kyojin: The Final Season'], [40591, 86, 'Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen'], [40748, 85, 'Jujutsu Kaisen'], [40417, 85, 'Fruits Basket: 2nd Season']]"
2021,"[[39486, 91, 'Gintama: THE FINAL'], [42938, 90, 'Fruits Basket: The Final'], [40664, 87, 'ShoujoKageki Revue Starlight Movie'], [47778, 86, 'Kimetsu no Yaiba: Yuukaku-hen'], [48569, 86, '86: Eighty Six Part 2']]"
2022,"[[43608, 89, 'Kaguya-sama wa Kokurasetai: Ultra Romantic'], [41467, 88, 'BLEACH: Sennen Kessen-hen'], [45649, 88, 'THE FIRST SLAM DUNK'], [47917, 87, 'Bocchi the Rock!'], [50172, 87, 'Mob Psycho 100 III']]"
2023,"[[52991, 91, 'Sousou no Frieren'], [54492, 88, 'Kusuriya no Hitorigoto'], [49387, 88, 'VINLAND SAGA SEASON 2'], [51009, 88, 'Jujutsu Kaisen 2nd Season'], [52198, 88, 'Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai']]"
2024,"[[55690, 88, 'Boku no Kokoro no Yabai Yatsu 2nd Season'], [39894, 88, 'Hibike! Euphonium 3'], [52742, 87, 'Haikyuu!!: Gomi Suteba no Kessen'], [52701, 85, 'Dungeon Meshi'], [53223, 85, 'Kingdom 5th Season']]"
