year,top_score,top_pop
2013,"[[15335, 8.9, 242439, 'https://cdn.myanimelist.net/images/anime/10/51723.jpg', 'Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare'], [17074, 8.76, 673740, 'https://cdn.myanimelist.net/images/anime/1807/121534.jpg', 'Monogatari Series: Second Season'], [19647, 8.6, 263305, 'https://cdn.myanimelist.net/images/anime/6/56147.jpg', 'Hajime no Ippo: Rising'], [16498, 8.55, 3974934, 'https://cdn.myanimelist.net/images/anime/10/47347.jpg', 'Shingeki no Kyojin'], [11981, 8.48, 383229, 'https://cdn.myanimelist.net/images/anime/5/54231.jpg', 'Mahou Shoujo MadokaMagica Movie 3: Hangyaku no Monogatari']]","[[16498, 8.55, 3974934, 'https://cdn.myanimelist.net/images/anime/10/47347.jpg', 'Shingeki no Kyojin'], [18679, 8.03, 1733047, 'https://cdn.myanimelist.net/images/anime/1464/111943.jpg', 'Kill la Kill'], [15809, 7.73, 1571465, 'https://cdn.myanimelist.net/images/anime/3/50177.jpg', 'Hataraku Maou-sama!'], [14813, 8, 1443245, 'https://cdn.myanimelist.net/images/anime/1786/120117.jpg', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.'], [18153, 7.72, 1173215, 'https://cdn.myanimelist.net/images/anime/3/85468.jpg', 'Kyoukai no Kanata']]"
2014,"[[24701, 8.73, 269163, 'https://cdn.myanimelist.net/images/anime/9/68095.jpg', 'Mushishi Zoku Shou 2nd Season'], [21939, 8.69, 302720, 'https://cdn.myanimelist.net/images/anime/13/58533.jpg', 'Mushishi Zoku Shou'], [23273, 8.64, 2228972, 'https://cdn.myanimelist.net/images/anime/1405/143284.jpg', 'Shigatsu wa Kimi no Uso'], [22135, 8.62, 397585, 'https://cdn.myanimelist.net/images/anime/10/58041.jpg', 'Ping Pong the Animation'], [21329, 8.53, 141012, 'https://cdn.myanimelist.net/images/anime/10/59315.jpg', 'Mushishi: Hihamukage']]","[[22319, 7.79, 2836835, 'https://cdn.myanimelist.net/images/anime/1498/134443.jpg', 'Tokyo Ghoul'], [19815, 8.06, 2408202, 'https://cdn.myanimelist.net/images/anime/1074/111944.jpg', 'No Game No Life'], [23273, 8.64, 2228972, 'https://cdn.myanimelist.net/images/anime/1405/143284.jpg', 'Shigatsu wa Kimi no Uso'], [20507, 7.94, 2174414, 'https://cdn.myanimelist.net/images/anime/1886/128266.jpg', 'Noragami'], [22199, 7.47, 2103203, 'https://cdn.myanimelist.net/images/anime/1429/95946.jpg', 'Akame ga Kill!']]"
2015,"[[28977, 9.06, 635660, 'https://cdn.myanimelist.net/images/anime/3/72078.jpg', 'Gintama'], [28891, 8.62, 1442221, 'https://cdn.myanimelist.net/images/anime/9/76662.jpg', 'Haikyuu!! Second Season'], [30276, 8.49, 3241744, 'https://cdn.myanimelist.net/images/anime/12/76049.jpg', 'One Punch Man'], [31181, 8.45, 480781, 'https://cdn.myanimelist.net/images/anime/8/76479.jpg', 'Owarimonogatari'], [26055, 8.44, 1124120, 'https://cdn.myanimelist.net/images/anime/11/75045.jpg', 'JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season']]","[[30276, 8.49, 3241744, 'https://cdn.myanimelist.net/images/anime/12/76049.jpg', 'One Punch Man'], [24833, 8.08, 2032885, 'https://cdn.myanimelist.net/images/anime/5/75639.jpg', 'Ansatsu Kyoushitsu'], [27899, 7.02, 1782735, 'https://cdn.myanimelist.net/images/anime/1889/123307.jpg', 'Tokyo Ghoul A'], [28223, 8.14, 1782497, 'https://cdn.myanimelist.net/images/anime/5/71553.jpg', 'Death Parade'], [28171, 8.14, 1651747, 'https://cdn.myanimelist.net/images/anime/3/72943.jpg', 'Shokugeki no Souma']]"
2016,"[[28851, 8.93, 2351087, 'https://cdn.myanimelist.net/images/anime/1122/96435.jpg', 'Koe no Katachi'], [32281, 8.84, 2763810, 'https://cdn.myanimelist.net/images/anime/5/87048.jpg', 'Kimi no Na wa.'], [32935, 8.78, 1214603, 'https://cdn.myanimelist.net/images/anime/7/81992.jpg', 'Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou'], [31757, 8.57, 448747, 'https://cdn.myanimelist.net/images/anime/1981/112812.jpg', 'Kizumonogatari II: Nekketsu-hen'], [28735, 8.56, 293511, 'https://cdn.myanimelist.net/images/anime/1354/124768.jpg', 'Shouwa Genroku Rakugo Shinjuu']]","[[31964, 7.86, 3043810, 'https://cdn.myanimelist.net/images/anime/10/78745.jpg', 'Boku no Hero Academia'], [32281, 8.84, 2763810, 'https://cdn.myanimelist.net/images/anime/5/87048.jpg', 'Kimi no Na wa.'], [28851, 8.93, 2351087, 'https://cdn.myanimelist.net/images/anime/1122/96435.jpg', 'Koe no Katachi'], [31240, 8.23, 2210566, 'https://cdn.myanimelist.net/images/anime/1522/128039.jpg', 'Re:Zero kara Hajimeru Isekai Seikatsu'], [31043, 8.3, 2108654, 'https://cdn.myanimelist.net/images/anime/10/77957.jpg', 'Boku dake ga Inai Machi']]"
2017,"[[34096, 8.98, 317144, 'https://cdn.myanimelist.net/images/anime/3/83528.jpg', 'Gintama.'], [35180, 8.92, 405062, 'https://cdn.myanimelist.net/images/anime/3/88469.jpg', '3-gatsu no Lion 2nd Season'], [35247, 8.87, 402152, 'https://cdn.myanimelist.net/images/anime/6/87322.jpg', 'Owarimonogatari 2nd Season'], [31758, 8.78, 466233, 'https://cdn.myanimelist.net/images/anime/1084/112813.jpg', 'Kizumonogatari III: Reiketsu-hen'], [33095, 8.71, 188873, 'https://cdn.myanimelist.net/images/anime/1493/124765.jpg', 'Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen']]","[[25777, 8.52, 2741778, 'https://cdn.myanimelist.net/images/anime/4/84177.jpg', 'Shingeki no Kyojin Season 2'], [33486, 8.08, 2536712, 'https://cdn.myanimelist.net/images/anime/12/85221.jpg', 'Boku no Hero Academia 2nd Season'], [34572, 8.14, 1683796, 'https://cdn.myanimelist.net/images/anime/2/88336.jpg', 'Black Clover'], [32937, 8.25, 1527966, 'https://cdn.myanimelist.net/images/anime/2/83188.jpg', 'Kono Subarashii Sekai ni Shukufuku wo! 2'], [34933, 7.23, 1497413, 'https://cdn.myanimelist.net/images/anime/3/86578.jpg', 'Kakegurui']]"
2018,"[[37491, 8.88, 200803, 'https://cdn.myanimelist.net/images/anime/1776/96566.jpg', 'Gintama.: Shirogane no Tamashii-hen - Kouhan-sen'], [36838, 8.81, 214766, 'https://cdn.myanimelist.net/images/anime/12/89603.jpg', 'Gintama.: Shirogane no Tamashii-hen'], [33352, 8.68, 1798128, 'https://cdn.myanimelist.net/images/anime/1795/95088.jpg', 'Violet Evergarden'], [35760, 8.62, 2388645, 'https://cdn.myanimelist.net/images/anime/1173/92110.jpg', 'Shingeki no Kyojin Season 3'], [37991, 8.57, 1035447, 'https://cdn.myanimelist.net/images/anime/1572/95010.jpg', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze']]","[[35760, 8.62, 2388645, 'https://cdn.myanimelist.net/images/anime/1173/92110.jpg', 'Shingeki no Kyojin Season 3'], [36456, 8.01, 2201215, 'https://cdn.myanimelist.net/images/anime/1319/92084.jpg', 'Boku no Hero Academia 3rd Season'], [33352, 8.68, 1798128, 'https://cdn.myanimelist.net/images/anime/1795/95088.jpg', 'Violet Evergarden'], [37450, 8.23, 1752190, 'https://cdn.myanimelist.net/images/anime/1301/93586.jpg', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai'], [35849, 7.19, 1658982, 'https://cdn.myanimelist.net/images/anime/1614/90408.jpg', 'Darling in the FranXX']]"
2019,"[[38524, 9.05, 2300374, 'https://cdn.myanimelist.net/images/anime/1517/100633.jpg', 'Shingeki no Kyojin Season 3 Part 2'], [37510, 8.79, 1546169, 'https://cdn.myanimelist.net/images/anime/1918/96303.jpg', 'Mob Psycho 100 II'], [37521, 8.75, 1537473, 'https://cdn.myanimelist.net/images/anime/1500/103005.jpg', 'Vinland Saga'], [38329, 8.59, 718292, 'https://cdn.myanimelist.net/images/anime/1613/102179.jpg', 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai'], [37779, 8.49, 1982387, 'https://cdn.myanimelist.net/images/anime/1830/118780.jpg', 'Yakusoku no Neverland']]","[[38000, 8.46, 3060965, 'https://cdn.myanimelist.net/images/anime/1286/99889.jpg', 'Kimetsu no Yaiba'], [38524, 9.05, 2300374, 'https://cdn.myanimelist.net/images/anime/1517/100633.jpg', 'Shingeki no Kyojin Season 3 Part 2'], [37779, 8.49, 1982387, 'https://cdn.myanimelist.net/images/anime/1830/118780.jpg', 'Yakusoku no Neverland'], [38691, 8.27, 1753939, 'https://cdn.myanimelist.net/images/anime/1613/102576.jpg', 'Dr. Stone'], [37999, 8.41, 1753245, 'https://cdn.myanimelist.net/images/anime/1295/106551.jpg', 'Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen']]"
2020,"[[37987, 8.86, 619559, 'https://cdn.myanimelist.net/images/anime/1825/110716.jpg', 'Violet Evergarden Movie'], [40682, 8.82, 105388, 'https://cdn.myanimelist.net/images/anime/1443/111830.jpg', 'Kingdom 3rd Season'], [33050, 8.66, 355514, 'https://cdn.myanimelist.net/images/anime/1142/112957.jpg', ""Fate/stay night Movie: Heaven's Feel - III. Spring Song""], [40591, 8.63, 1353933, 'https://cdn.myanimelist.net/images/anime/1764/106659.jpg', 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen'], [36862, 8.61, 469047, 'https://cdn.myanimelist.net/images/anime/1502/110723.jpg', 'Made in Abyss Movie 3: Fukaki Tamashii no Reimei']]","[[40748, 8.6, 2581916, 'https://cdn.myanimelist.net/images/anime/1171/109222.jpg', 'Jujutsu Kaisen'], [40456, 8.58, 1558721, 'https://cdn.myanimelist.net/images/anime/1704/106947.jpg', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen'], [40591, 8.63, 1353933, 'https://cdn.myanimelist.net/images/anime/1764/106659.jpg', 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen'], [39587, 8.33, 1116586, 'https://cdn.myanimelist.net/images/anime/1444/108005.jpg', 'Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season'], [40839, 6.97, 992965, 'https://cdn.myanimelist.net/images/anime/1902/128382.jpg', 'Kanojo, Okarishimasu']]"
2021,"[[42938, 8.97, 484856, 'https://cdn.myanimelist.net/images/anime/1085/114792.jpg', 'Fruits Basket: The Final'], [40028, 8.78, 2019632, 'https://cdn.myanimelist.net/images/anime/1000/110531.jpg', 'Shingeki no Kyojin: The Final Season'], [44074, 8.73, 373575, 'https://cdn.myanimelist.net/images/anime/1135/114867.jpg', 'Shiguang Dailiren'], [48569, 8.7, 509503, 'https://cdn.myanimelist.net/images/anime/1321/117508.jpg', '86 Part 2'], [46102, 8.66, 438670, 'https://cdn.myanimelist.net/images/anime/1981/113348.jpg', 'Odd Taxi']]","[[40028, 8.78, 2019632, 'https://cdn.myanimelist.net/images/anime/1000/110531.jpg', 'Shingeki no Kyojin: The Final Season'], [42897, 8.2, 1399013, 'https://cdn.myanimelist.net/images/anime/1695/111486.jpg', 'Horimiya'], [39535, 8.37, 1340504, 'https://cdn.myanimelist.net/images/anime/1530/117776.jpg', 'Mushoku Tensei: Isekai Ittara Honki Dasu'], [42249, 7.91, 1264625, 'https://cdn.myanimelist.net/images/anime/1839/122012.jpg', 'Tokyo Revengers'], [41587, 7.37, 1197392, 'https://cdn.myanimelist.net/images/anime/1911/113611.jpg', 'Boku no Hero Academia 5th Season']]"
2022,"[[43608, 9.01, 942480, 'https://cdn.myanimelist.net/images/anime/1160/122627.jpg', 'Kaguya-sama wa Kokurasetai: Ultra Romantic'], [41467, 9.01, 552219, 'https://cdn.myanimelist.net/images/anime/1908/135431.jpg', 'Bleach: Sennen Kessen-hen'], [47917, 8.78, 586579, 'https://cdn.myanimelist.net/images/anime/1448/127956.jpg', 'Bocchi the Rock!'], [52198, 8.77, 272950, 'https://cdn.myanimelist.net/images/anime/1670/130060.jpg', 'Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai'], [48583, 8.76, 1311501, 'https://cdn.myanimelist.net/images/anime/1948/120625.jpg', 'Shingeki no Kyojin: The Final Season Part 2']]","[[50265, 8.52, 1581650, 'https://cdn.myanimelist.net/images/anime/1441/122795.jpg', 'Spy x Family'], [44511, 8.5, 1546275, 'https://cdn.myanimelist.net/images/anime/1806/126216.jpg', 'Chainsaw Man'], [47778, 8.74, 1452820, 'https://cdn.myanimelist.net/images/anime/1908/120036.jpg', 'Kimetsu no Yaiba: Yuukaku-hen'], [48583, 8.76, 1311501, 'https://cdn.myanimelist.net/images/anime/1948/120625.jpg', 'Shingeki no Kyojin: The Final Season Part 2'], [48736, 8.18, 1074624, 'https://cdn.myanimelist.net/images/anime/1179/119897.jpg', 'Sono Bisque Doll wa Koi wo Suru']]"
2023,"[[52991, 9.35, 789006, 'https://cdn.myanimelist.net/images/anime/1015/138006.jpg', 'Sousou no Frieren'], [54492, 8.9, 422724, 'https://cdn.myanimelist.net/images/anime/1708/138033.jpg', 'Kusuriya no Hitorigoto'], [51535, 8.89, 661683, 'https://cdn.myanimelist.net/images/anime/1279/131078.jpg', 'Shingeki no Kyojin: The Final Season - Kanketsu-hen'], [51009, 8.82, 968266, 'https://cdn.myanimelist.net/images/anime/1792/138022.jpg', 'Jujutsu Kaisen 2nd Season'], [49387, 8.81, 627075, 'https://cdn.myanimelist.net/images/anime/1170/124312.jpg', 'Vinland Saga Season 2']]","[[51009, 8.82, 968266, 'https://cdn.myanimelist.net/images/anime/1792/138022.jpg', 'Jujutsu Kaisen 2nd Season'], [51019, 8.23, 842014, 'https://cdn.myanimelist.net/images/anime/1765/135099.jpg', 'Kimetsu no Yaiba: Katanakaji no Sato-hen'], [52034, 8.64, 807599, 'https://cdn.myanimelist.net/images/anime/1812/134736.jpg', '""Oshi no Ko""'], [52991, 9.35, 789006, 'https://cdn.myanimelist.net/images/anime/1015/138006.jpg', 'Sousou no Frieren'], [46569, 8.1, 693473, 'https://cdn.myanimelist.net/images/anime/1075/131925.jpg', 'Jigokuraku']]"
2024,"[[55690, 8.84, 187111, 'https://cdn.myanimelist.net/images/anime/1643/138581.jpg', 'Boku no Kokoro no Yabai Yatsu 2nd Season'], [52742, 8.68, 124819, 'https://cdn.myanimelist.net/images/anime/1665/140360.jpg', 'Haikyuu!! Movie: Gomisuteba no Kessen'], [52701, 8.6, 293975, 'https://cdn.myanimelist.net/images/anime/1711/142478.jpg', 'Dungeon Meshi'], [55888, 8.48, 316079, 'https://cdn.myanimelist.net/images/anime/1876/141251.jpg', 'Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2'], [49458, 8.44, 384942, 'https://cdn.myanimelist.net/images/anime/1758/141268.jpg', 'Kono Subarashii Sekai ni Shukufuku wo! 3']]","[[52299, 8.31, 680846, 'https://cdn.myanimelist.net/images/anime/1801/142390.jpg', 'Ore dake Level Up na Ken'], [49458, 8.44, 384942, 'https://cdn.myanimelist.net/images/anime/1758/141268.jpg', 'Kono Subarashii Sekai ni Shukufuku wo! 3'], [55701, 8.07, 375654, 'https://cdn.myanimelist.net/images/anime/1565/142711.jpg', 'Kimetsu no Yaiba: Hashira Geiko-hen'], [51180, 7.98, 374906, 'https://cdn.myanimelist.net/images/anime/1332/139318.jpg', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season'], [55813, 7.84, 333205, 'https://cdn.myanimelist.net/images/anime/1912/140804.jpg', 'Mashle: Shinkakusha Kouho Senbatsu Shiken-hen']]"
